symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
OANDO,baseline,1,195300,0.1164,8.0869,2.34956,384,2.50676e+06,1.25396e+06,1.2528e+06,6240,896,719,1
OANDO,avellaneda_stoikov,1,288553,3.2701,5.6145,1.39136,580,3.71356e+06,1.87313e+06,1.84043e+06,6240,955,719,1
OANDO,baseline,2,148070,6.0844,7.7442,2.42013,381,2.33586e+06,1.19835e+06,1.13751e+06,6240,894,728,1
OANDO,avellaneda_stoikov,2,284684,-3.1697,9.8419,2.44164,595,3.60271e+06,1.78551e+06,1.8172e+06,6240,952,728,1
OANDO,baseline,3,162310,2.3508,8.6108,2.47696,360,2.14057e+06,1.08204e+06,1.05853e+06,6240,920,762,1
OANDO,avellaneda_stoikov,3,259634,-0.8548,6.5327,1.88045,576,3.51462e+06,1.75303e+06,1.76158e+06,6240,1001,762,1
OANDO,baseline,4,132765,5.6575,6.4388,3.05602,354,2.11917e+06,1.08787e+06,1.0313e+06,6240,872,712,1
OANDO,avellaneda_stoikov,4,262537,2.2349,5.9162,1.45246,580,3.53346e+06,1.77791e+06,1.75556e+06,6240,957,712,1
OANDO,baseline,5,181026,0.4732,4.6331,1.51388,343,2.29581e+06,1.15027e+06,1.14554e+06,6240,884,706,1
OANDO,avellaneda_stoikov,5,247644,-3.9727,4.8039,1.62028,554,3.51813e+06,1.7392e+06,1.77893e+06,6240,945,706,1
OANDO,baseline,6,132930,-7.8177,10.7318,3.22499,362,2.30901e+06,1.11542e+06,1.19359e+06,6240,915,738,1
OANDO,avellaneda_stoikov,6,264432,0.2053,6.1843,1.47159,574,3.63378e+06,1.81791e+06,1.81586e+06,6240,989,738,1
OANDO,baseline,7,110019,10.4392,13.0263,3.54502,370,2.30101e+06,1.2027e+06,1.09831e+06,6240,912,728,1
OANDO,avellaneda_stoikov,7,244739,0.2095,4.9223,1.31095,574,3.56299e+06,1.78254e+06,1.78045e+06,6240,981,728,1
OANDO,baseline,8,85238.8,3.5857,11.1904,3.02312,357,2.22602e+06,1.13094e+06,1.09508e+06,6240,885,736,1
OANDO,avellaneda_stoikov,8,302166,1.1647,8.816,2.19235,587,3.78153e+06,1.89659e+06,1.88494e+06,6240,971,736,1
OANDO,baseline,9,199875,5.3994,7.6122,1.81816,357,2.1673e+06,1.11065e+06,1.05665e+06,6240,851,690,1
OANDO,avellaneda_stoikov,9,249605,-2.1202,5.2343,1.59756,554,3.38809e+06,1.68344e+06,1.70464e+06,6240,917,690,1
OANDO,baseline,10,20094.2,-10.0133,13.512,4.52479,363,2.31310e+06,1.10649e+06,1.20662e+06,6240,902,724,1
