symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
OANDO,avellaneda_stoikov,31,246817,3.7489,4.033,1.19004,522,3.11667e+06,1.57708e+06,1.53959e+06,6240,866,655,1
OANDO,baseline,32,141528,4.0158,5.5175,1.97109,320,2.05562e+06,1.04789e+06,1.00773e+06,6240,801,642,1
OANDO,avellaneda_stoikov,32,273384,-5.0092,7.9691,2.1306,514,3.35226e+06,1.65108e+06,1.70118e+06,6240,865,642,1
OANDO,baseline,33,131498,0.6171,4.9527,1.35773,335,2.08682e+06,1.04649e+06,1.04032e+06,6240,802,652,1
OANDO,avellaneda_stoikov,33,241405,2.7439,8.4816,1.75878,529,3.3034e+06,1.66542e+06,1.63798e+06,6240,861,652,1
OANDO,baseline,34,71447.1,-5.2751,7.9423,2.43379,308,1.94831e+06,947781,1.00053e+06,6240,792,655,1
OANDO,avellaneda_stoikov,34,216687,-4.0918,7.3657,2.13773,507,3.19679e+06,1.57794e+06,1.61885e+06,6240,860,655,1
OANDO,baseline,35,101724,-0.0565,3.9201,1.3618,303,1.90828e+06,953857,954422,6240,773,622,1
OANDO,avellaneda_stoikov,35,228793,6.4765,6.9128,1.80086,497,3.08404e+06,1.5744e+06,1.50964e+06,6240,825,622,1
OANDO,baseline,36,83040.6,3.1744,5.2003,2.13312,293,1.79252e+06,912132,880388,6240,703,572,1
OANDO,avellaneda_stoikov,36,194096,2.1137,5.022,1.57745,448,2.69078e+06,1.35596e+06,1.33482e+06,6240,751,572,1
OANDO,baseline,37,101432,1.5297,10.1731,3.34429,328,2.06543e+06,1.04036e+06,1.02507e+06,6240,791,645,1
OANDO,avellaneda_stoikov,37,242690,-7.1557,7.6223,1.7929,500,3.16374e+06,1.54609e+06,1.61765e+06,6240,841,645,1
OANDO,baseline,38,147937,-1.4651,6.518,2.11739,351,2.04236e+06,1.01386e+06,1.02851e+06,6240,790,653,1
OANDO,avellaneda_stoikov,38,221028,5.2648,9.7051,2.23946,523,3.04047e+06,1.54656e+06,1.49391e+06,6240,846,653,1
OANDO,baseline,39,134274,-3.341,7.327,1.91105,316,1.93267e+06,949631,983041,6240,766,621,1
OANDO,avellaneda_stoikov,39,230274,8.0033,9.0474,2.36092,497,3.06832e+06,1.57418e+06,1.49414e+06,6240,823,621,1
OANDO,baseline,40,127458,4.2008,7.1683,1.42144,323,2.09382e+06,1.06791e+06,1.0259e+06,6240,806,650,1
OANDO,avellaneda_stoikov,40,259701,1.8336,4.9205,1.34098,493,3.20049e+06,1.60941e+06,1.59108e+06,6240,865,650,1
OANDO,baseline,41,93856.5,5.5768,8.6065,2.12839,308,1.92936e+06,992566,936798,6240,778,646,1
OANDO,avellaneda_stoikov,41,266060,10.5315,12.1019,2.93629,495,3.14014e+06,1.62273e+06,1.51741e+06,6240,852,646,1
OANDO,baseline,42,133573,0.5065,9.1442,1.77601,309,1.97181e+06,988437,983372,6240,780,632,1
OANDO,avellaneda_stoikov,42,224855,17.3545,17.3545,3.76461,498,3.17554e+06,1.67454e+06,1.501e+06,6240,856,632,1
